0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
2170.22         5.26E-19
2170.71         1.03E-18
2171.21         2.43E-18
2171.71         3.83E-18
2172.20         4.82E-18
2172.70         5.52E-18
2173.19         6.22E-18
2173.69         5.60E-18
2174.18         4.93E-18
2174.68         4.30E-18
2175.17         3.74E-18
2175.67         3.17E-18
2176.17         2.73E-18
2176.66         2.33E-18
2177.16         1.95E-18
2177.65         1.71E-18
2178.15         1.47E-18
2178.64         1.25E-18
2179.14         1.07E-18
2179.64         8.88E-19
2180.13         7.69E-19
2180.63         6.61E-19
2181.12         5.62E-19
2181.62         4.95E-19
2182.11         4.29E-19
2182.61         3.66E-19
2183.10         3.08E-19
2183.60         2.49E-19
2184.10         1.91E-19
2184.59         1.33E-19
2185.09         8.19E-20
2185.58         4.95E-20
2186.08         1.71E-20
2186.57         4.45E-21
2187.07         2.62E-21
2187.56         7.89E-22
2188.06         5.23E-22
2188.56         2.63E-22
2189.05         9.54E-23
2189.55         1.04E-22
2190.04         1.12E-22
2190.54         1.08E-22
2191.03         9.86E-23
2191.53         9.84E-23
2192.03         4.32E-22
2192.52         7.65E-22
2193.02         1.01E-21
2193.51         1.09E-21
2194.01         1.16E-21
2194.50         5.06E-21
2195.00         1.06E-20
2195.49         1.60E-20
2195.99         1.63E-20
2196.49         1.66E-20
2196.98         9.23E-20
2197.48         3.04E-19
2197.97         5.15E-19
2198.47         1.12E-18
2198.96         1.92E-18
2199.46         2.71E-18
2199.95         2.99E-18
2200.45         3.27E-18
2200.95         3.34E-18
2201.44         2.94E-18
2201.94         2.55E-18
2202.43         2.22E-18
2202.93         1.93E-18
2203.42         1.64E-18
2203.92         1.41E-18
2204.42         1.19E-18
2204.91         9.89E-19
2205.41         8.47E-19
2205.90         7.06E-19
2206.40         6.08E-19
2206.89         5.44E-19
2207.39         4.81E-19
2207.88         4.10E-19
2208.38         3.38E-19
2208.88         2.72E-19
2209.37         2.38E-19
2209.87         2.04E-19
2210.36         1.72E-19
2210.86         1.42E-19
2211.35         1.11E-19
2211.85         8.36E-20
2212.35         5.66E-20
2212.84         3.01E-20
2213.34         1.94E-20
2213.83         8.62E-21
2214.33         1.23E-21
2214.82         9.95E-22
2215.32         7.62E-22
2215.81         5.41E-22
2216.31         3.31E-22
2216.81         1.20E-22
2217.30         8.45E-23
2217.80         7.34E-23
2218.29         6.35E-23
2218.79         6.01E-23
2219.28         5.67E-23
2219.78         8.51E-23
2220.27         1.56E-22
2220.77         2.28E-22
2221.27         3.49E-22
2221.76         4.92E-22
2222.26         6.35E-22
2222.75         1.97E-21
2223.25         3.36E-21
2223.74         4.79E-21
2224.24         6.38E-21
2224.74         7.97E-21
2225.23         3.05E-20
2225.73         7.55E-20
2226.22         1.21E-19
2226.72         3.81E-19
2227.21         7.20E-19
2227.71         1.06E-18
2228.20         1.30E-18
2228.70         1.54E-18
2229.20         1.69E-18
2229.69         1.53E-18
2230.19         1.38E-18
2230.68         1.22E-18
2231.18         1.06E-18
2231.67         8.94E-19
2232.17         7.70E-19
2232.67         6.61E-19
2233.16         5.51E-19
2233.66         4.76E-19
2234.15         4.02E-19
2234.65         3.35E-19
2235.14         2.99E-19
2235.64         2.63E-19
2236.13         2.28E-19
2236.63         1.93E-19
2237.13         1.58E-19
2237.62         1.34E-19
2238.12         1.16E-19
2238.61         9.72E-20
2239.11         8.25E-20
2239.60         6.82E-20
2240.10         5.40E-20
2240.59         4.03E-20
2241.09         2.66E-20
2241.59         1.55E-20
2242.08         9.72E-21
2242.58         3.97E-21
2243.07         1.11E-21
2243.57         7.58E-22
2244.06         4.09E-22
2244.56         2.54E-22
2245.06         1.65E-22
2245.55         7.63E-23
2246.05         5.98E-23
2246.54         4.69E-23
2247.04         3.62E-23
2247.53         3.72E-23
2248.03         3.83E-23
2248.52         3.92E-23
