0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
1968.01         7.09E-18        7.09E-18
1968.51         7.09E-18        7.09E-18
1969.00         7.06E-18        7.06E-18
1969.50         7.04E-18        7.04E-18
1969.99         7.03E-18        7.03E-18
1970.49         7.01E-18        7.01E-18
1970.98         6.98E-18        6.98E-18
1971.48         6.97E-18        6.97E-18
1971.98         6.94E-18        6.94E-18
1972.47         6.93E-18        6.93E-18
1972.97         6.92E-18        6.92E-18
1973.46         6.89E-18        6.89E-18
1973.96         6.87E-18        6.87E-18
1974.45         6.86E-18        6.86E-18
1974.95         6.84E-18        6.84E-18
1975.44         6.81E-18        6.81E-18
1975.94         6.80E-18        6.80E-18
1976.44         6.77E-18        6.77E-18
1976.93         6.77E-18        6.77E-18
1977.43         6.74E-18        6.74E-18
1977.92         6.73E-18        6.73E-18
1978.42         6.72E-18        6.72E-18
1978.91         6.70E-18        6.70E-18
1979.41         6.69E-18        6.69E-18
1979.91         6.67E-18        6.67E-18
1980.40         6.65E-18        6.65E-18
1980.90         6.65E-18        6.65E-18
1981.39         6.64E-18        6.64E-18
1981.89         6.62E-18        6.62E-18
1982.38         6.61E-18        6.61E-18
1982.88         6.61E-18        6.61E-18
1983.37         6.60E-18        6.60E-18
1983.87         6.58E-18        6.58E-18
1984.37         6.59E-18        6.59E-18
1984.86         6.58E-18        6.58E-18
1985.36         6.58E-18        6.58E-18
1985.85         6.57E-18        6.57E-18
1986.35         6.57E-18        6.57E-18
1986.84         6.57E-18        6.57E-18
1987.34         6.57E-18        6.57E-18
1987.84         6.56E-18        6.56E-18
1988.33         6.56E-18        6.56E-18
1988.83         6.56E-18        6.56E-18
1989.32         6.56E-18        6.56E-18
1989.82         6.58E-18        6.58E-18
1990.31         6.57E-18        6.57E-18
1990.81         6.57E-18        6.57E-18
1991.30         6.58E-18        6.58E-18
1991.80         6.59E-18        6.59E-18
1992.30         6.59E-18        6.59E-18
1992.79         6.60E-18        6.60E-18
1993.29         6.60E-18        6.60E-18
1993.78         6.62E-18        6.62E-18
1994.28         6.62E-18        6.62E-18
1994.77         6.62E-18        6.62E-18
1995.27         6.63E-18        6.63E-18
1995.76         6.63E-18        6.63E-18
1996.26         6.65E-18        6.65E-18
1996.76         6.65E-18        6.65E-18
1997.25         6.65E-18        6.65E-18
1997.75         6.67E-18        6.67E-18
1998.24         6.67E-18        6.67E-18
1998.74         6.67E-18        6.67E-18
1999.23         6.68E-18        6.68E-18
1999.73         6.68E-18        6.68E-18
2000.23         6.70E-18        6.70E-18
2000.72         6.70E-18        6.70E-18
2001.22         6.70E-18        6.70E-18
2001.71         6.70E-18        6.70E-18
2002.21         6.71E-18        6.71E-18
2002.70         6.71E-18        6.71E-18
2003.20         6.72E-18        6.72E-18
2003.69         6.73E-18        6.73E-18
2004.19         6.71E-18        6.71E-18
2004.69         6.71E-18        6.71E-18
2005.18         6.71E-18        6.71E-18
2005.68         6.71E-18        6.71E-18
2006.17         6.70E-18        6.70E-18
2006.67         6.70E-18        6.70E-18
2007.16         6.69E-18        6.69E-18
2007.66         6.68E-18        6.68E-18
2008.15         6.67E-18        6.67E-18
2008.65         6.67E-18        6.67E-18
2009.15         6.66E-18        6.66E-18
2009.64         6.65E-18        6.65E-18
2010.14         6.63E-18        6.63E-18
2010.63         6.62E-18        6.62E-18
2011.13         6.61E-18        6.61E-18
2011.62         6.59E-18        6.59E-18
2012.12         6.58E-18        6.58E-18
2012.62         6.57E-18        6.57E-18
2013.11         6.55E-18        6.55E-18
2013.61         6.53E-18        6.53E-18
2014.10         6.50E-18        6.50E-18
2014.60         6.48E-18        6.48E-18
2015.09         6.47E-18        6.47E-18
2015.59         6.44E-18        6.44E-18
2016.08         6.42E-18        6.42E-18
2016.58         6.40E-18        6.40E-18
2017.08         6.37E-18        6.37E-18
2017.57         6.34E-18        6.34E-18
2018.07         6.32E-18        6.32E-18
2018.56         6.29E-18        6.29E-18
2019.06         6.28E-18        6.28E-18
2019.55         6.26E-18        6.26E-18
2020.05         6.23E-18        6.23E-18
2020.55         6.21E-18        6.21E-18
2021.04         6.18E-18        6.18E-18
2021.54         6.14E-18        6.14E-18
2022.03         6.11E-18        6.11E-18
2022.53         6.09E-18        6.09E-18
2023.02         6.06E-18        6.06E-18
2023.52         6.03E-18        6.03E-18
2024.01         6.01E-18        6.01E-18
2024.51         5.97E-18        5.97E-18
2025.01         5.95E-18        5.95E-18
2025.50         5.93E-18        5.93E-18
2026.00         5.89E-18        5.89E-18
2026.49         5.86E-18        5.86E-18
2026.99         5.84E-18        5.84E-18
2027.48         5.81E-18        5.81E-18
2027.98         5.79E-18        5.79E-18
2028.47         5.75E-18        5.75E-18
2028.97         5.73E-18        5.73E-18
2029.47         5.70E-18        5.70E-18
2029.96         5.67E-18        5.67E-18
2030.46         5.65E-18        5.65E-18
2030.95         5.61E-18        5.61E-18
2031.45         5.58E-18        5.58E-18
2031.94         5.55E-18        5.55E-18
2032.44         5.53E-18        5.53E-18
2032.94         5.50E-18        5.50E-18
2033.43         5.48E-18        5.48E-18
2033.93         5.46E-18        5.46E-18
2034.42         5.41E-18        5.41E-18
2034.92         5.39E-18        5.39E-18
2035.41         5.36E-18        5.36E-18
2035.91         5.34E-18        5.34E-18
2036.40         5.32E-18        5.32E-18
2036.90         5.28E-18        5.28E-18
2037.40         5.25E-18        5.25E-18
2037.89         5.23E-18        5.23E-18
2038.39         5.20E-18        5.20E-18
2038.88         5.18E-18        5.18E-18
2039.38         5.15E-18        5.15E-18
2039.87         5.13E-18        5.13E-18
2040.37         5.11E-18        5.11E-18
2040.87         5.08E-18        5.08E-18
2041.36         5.06E-18        5.06E-18
2041.86         5.04E-18        5.04E-18
2042.35         5.01E-18        5.01E-18
2042.85         4.98E-18        4.98E-18
2043.34         4.96E-18        4.96E-18
2043.84         4.93E-18        4.93E-18
2044.33         4.92E-18        4.92E-18
2044.83         4.90E-18        4.90E-18
2045.33         4.86E-18        4.86E-18
2045.82         4.84E-18        4.84E-18
2046.32         4.82E-18        4.82E-18
2046.81         4.80E-18        4.80E-18
2047.31         4.77E-18        4.77E-18
2047.80         4.76E-18        4.76E-18
2048.30         4.73E-18        4.73E-18
2048.79         4.70E-18        4.70E-18
2049.29         4.68E-18        4.68E-18
2049.79         4.65E-18        4.65E-18
2050.28         4.64E-18        4.64E-18
2050.78         4.60E-18        4.60E-18
2051.27         4.58E-18        4.58E-18
2051.77         4.57E-18        4.57E-18
2052.26         4.54E-18        4.54E-18
2052.76         4.53E-18        4.53E-18
2053.26         4.51E-18        4.51E-18
2053.75         4.48E-18        4.48E-18
2054.25         4.46E-18        4.46E-18
2054.74         4.45E-18        4.45E-18
2055.24         4.43E-18        4.43E-18
2055.73         4.41E-18        4.41E-18
2056.23         4.38E-18        4.38E-18
2056.72         4.37E-18        4.37E-18
2057.22         4.35E-18        4.35E-18
2057.72         4.32E-18        4.32E-18
2058.21         4.31E-18        4.31E-18
2058.71         4.29E-18        4.29E-18
2059.20         4.27E-18        4.27E-18
2059.70         4.25E-18        4.25E-18
2060.19         4.23E-18        4.23E-18
2060.69         4.21E-18        4.21E-18
2061.18         4.19E-18        4.19E-18
2061.68         4.18E-18        4.18E-18
2062.18         4.16E-18        4.16E-18
2062.67         4.14E-18        4.14E-18
2063.17         4.12E-18        4.12E-18
2063.66         4.11E-18        4.11E-18
2064.16         4.09E-18        4.09E-18
2064.65         4.07E-18        4.07E-18
2065.15         4.05E-18        4.05E-18
2065.65         4.03E-18        4.03E-18
2066.14         4.01E-18        4.01E-18
2066.64         3.99E-18        3.99E-18
2067.13         3.98E-18        3.98E-18
2067.63         3.97E-18        3.97E-18
2068.12         3.95E-18        3.95E-18
2068.62         3.93E-18        3.93E-18
2069.11         3.92E-18        3.92E-18
2069.61         3.89E-18        3.89E-18
2070.11         3.88E-18        3.88E-18
2070.60         3.87E-18        3.87E-18
2071.10         3.85E-18        3.85E-18
2071.59         3.83E-18        3.83E-18
2072.09         3.81E-18        3.81E-18
2072.58         3.81E-18        3.81E-18
2073.08         3.79E-18        3.79E-18
2073.58         3.77E-18        3.77E-18
2074.07         3.75E-18        3.75E-18
2074.57         3.74E-18        3.74E-18
2075.06         3.73E-18        3.73E-18
2075.56         3.71E-18        3.71E-18
2076.05         3.70E-18        3.70E-18
2076.55         3.68E-18        3.68E-18
2077.04         3.67E-18        3.67E-18
2077.54         3.65E-18        3.65E-18
2078.04         3.64E-18        3.64E-18
2078.53         3.62E-18        3.62E-18
2079.03         3.61E-18        3.61E-18
2079.52         3.60E-18        3.60E-18
2080.02         3.59E-18        3.59E-18
2080.51         3.57E-18        3.57E-18
2081.01         3.56E-18        3.56E-18
2081.50         3.55E-18        3.55E-18
2082.00         3.53E-18        3.53E-18
2082.50         3.51E-18        3.51E-18
2082.99         3.50E-18        3.50E-18
2083.49         3.49E-18        3.49E-18
2083.98         3.47E-18        3.47E-18
2084.48         3.45E-18        3.45E-18
2084.97         3.45E-18        3.45E-18
2085.47         3.43E-18        3.43E-18
2085.97         3.42E-18        3.42E-18
