0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
1964.05         8.78E-18        8.78E-18
1964.54         7.99E-18        7.99E-18
1965.04         7.31E-18        7.31E-18
1965.53         6.57E-18        6.57E-18
1966.03         5.92E-18        5.92E-18
1966.52         5.59E-18        5.59E-18
1967.02         5.61E-18        5.61E-18
1967.52         5.90E-18        5.90E-18
1968.01         6.22E-18        6.22E-18
1968.51         6.11E-18        6.11E-18
1969.00         5.54E-18        5.54E-18
1969.50         5.13E-18        5.13E-18
1969.99         4.87E-18        4.87E-18
1970.49         4.32E-18        4.32E-18
1970.98         4.06E-18        4.06E-18
1971.48         3.78E-18        3.78E-18
1971.98         3.97E-18        3.97E-18
1972.47         5.96E-18        5.96E-18
1972.97         8.64E-18        8.64E-18
1973.46         9.88E-18        9.88E-18
1973.96         9.94E-18        9.94E-18
1974.45         1.04E-17        1.04E-17
1974.95         1.18E-17        1.18E-17
1975.44         1.35E-17        1.35E-17
1975.94         1.31E-17        1.31E-17
1976.44         1.24E-17        1.24E-17
1976.93         1.29E-17        1.29E-17
1977.43         1.33E-17        1.33E-17
1977.92         1.24E-17        1.24E-17
1978.42         1.08E-17        1.08E-17
1978.91         9.38E-18        9.38E-18
1979.41         8.67E-18        8.67E-18
1979.91         8.20E-18        8.20E-18
1980.40         7.51E-18        7.51E-18
1980.90         6.74E-18        6.74E-18
1981.39         6.11E-18        6.11E-18
1981.89         5.45E-18        5.45E-18
1982.38         5.27E-18        5.27E-18
1982.88         5.21E-18        5.21E-18
1983.37         5.08E-18        5.08E-18
1983.87         4.97E-18        4.97E-18
1984.37         4.84E-18        4.84E-18
1984.86         4.56E-18        4.56E-18
1985.36         4.02E-18        4.02E-18
1985.85         3.62E-18        3.62E-18
1986.35         3.32E-18        3.32E-18
1986.84         3.20E-18        3.20E-18
1987.34         3.93E-18        3.93E-18
1987.84         6.05E-18        6.05E-18
1988.33         8.07E-18        8.07E-18
1988.83         8.79E-18        8.79E-18
1989.32         8.64E-18        8.64E-18
1989.82         9.99E-18        9.99E-18
1990.31         1.44E-17        1.44E-17
1990.81         1.76E-17        1.76E-17
1991.30         1.76E-17        1.76E-17
1991.80         1.63E-17        1.63E-17
1992.30         1.42E-17        1.42E-17
1992.79         1.26E-17        1.26E-17
1993.29         1.09E-17        1.09E-17
1993.78         9.29E-18        9.29E-18
1994.28         8.13E-18        8.13E-18
1994.77         7.02E-18        7.02E-18
1995.27         6.21E-18        6.21E-18
1995.76         6.21E-18        6.21E-18
1996.26         6.45E-18        6.45E-18
1996.76         6.58E-18        6.58E-18
1997.25         6.56E-18        6.56E-18
1997.75         6.22E-18        6.22E-18
1998.24         5.66E-18        5.66E-18
1998.74         5.02E-18        5.02E-18
1999.23         4.52E-18        4.52E-18
1999.73         4.06E-18        4.06E-18
2000.23         3.60E-18        3.60E-18
2000.72         3.34E-18        3.34E-18
2001.22         2.93E-18        2.93E-18
2001.71         2.72E-18        2.72E-18
2002.21         2.49E-18        2.49E-18
2002.70         2.63E-18        2.63E-18
2003.20         4.82E-18        4.82E-18
2003.69         9.62E-18        9.62E-18
2004.19         1.41E-17        1.41E-17
2004.69         1.71E-17        1.71E-17
2005.18         1.74E-17        1.74E-17
2005.68         1.61E-17        1.61E-17
2006.17         1.40E-17        1.40E-17
2006.67         1.23E-17        1.23E-17
2007.16         1.14E-17        1.14E-17
2007.66         1.12E-17        1.12E-17
2008.15         1.06E-17        1.06E-17
2008.65         9.85E-18        9.85E-18
2009.15         9.32E-18        9.32E-18
2009.64         9.19E-18        9.19E-18
2010.14         8.59E-18        8.59E-18
2010.63         7.62E-18        7.62E-18
2011.13         6.73E-18        6.73E-18
2011.62         5.81E-18        5.81E-18
2012.12         5.47E-18        5.47E-18
2012.62         5.21E-18        5.21E-18
2013.11         4.99E-18        4.99E-18
2013.61         4.83E-18        4.83E-18
2014.10         4.74E-18        4.74E-18
2014.60         4.61E-18        4.61E-18
2015.09         4.20E-18        4.20E-18
2015.59         3.85E-18        3.85E-18
2016.08         3.33E-18        3.33E-18
2016.58         2.96E-18        2.96E-18
2017.08         2.87E-18        2.87E-18
2017.57         3.76E-18        3.76E-18
2018.07         6.32E-18        6.32E-18
2018.56         8.59E-18        8.59E-18
2019.06         9.50E-18        9.50E-18
2019.55         9.12E-18        9.12E-18
2020.05         8.33E-18        8.33E-18
2020.55         8.91E-18        8.91E-18
2021.04         1.23E-17        1.23E-17
2021.54         1.60E-17        1.60E-17
2022.03         1.70E-17        1.70E-17
2022.53         1.61E-17        1.61E-17
2023.02         1.42E-17        1.42E-17
2023.52         1.22E-17        1.22E-17
2024.01         1.04E-17        1.04E-17
2024.51         8.93E-18        8.93E-18
2025.01         7.73E-18        7.73E-18
2025.50         6.93E-18        6.93E-18
2026.00         6.38E-18        6.38E-18
2026.49         6.27E-18        6.27E-18
2026.99         6.13E-18        6.13E-18
2027.48         6.07E-18        6.07E-18
2027.98         5.85E-18        5.85E-18
2028.47         5.52E-18        5.52E-18
2028.97         5.10E-18        5.10E-18
2029.47         4.48E-18        4.48E-18
2029.96         4.01E-18        4.01E-18
2030.46         3.75E-18        3.75E-18
2030.95         3.27E-18        3.27E-18
2031.45         3.16E-18        3.16E-18
2031.94         3.01E-18        3.01E-18
2032.44         2.74E-18        2.74E-18
2032.94         2.39E-18        2.39E-18
2033.43         2.13E-18        2.13E-18
2033.93         2.17E-18        2.17E-18
2034.42         3.12E-18        3.12E-18
2034.92         7.05E-18        7.05E-18
2035.41         1.36E-17        1.36E-17
2035.91         1.76E-17        1.76E-17
2036.40         1.85E-17        1.85E-17
2036.90         1.70E-17        1.70E-17
2037.40         1.46E-17        1.46E-17
2037.89         1.28E-17        1.28E-17
2038.39         1.14E-17        1.14E-17
2038.88         1.03E-17        1.03E-17
2039.38         9.52E-18        9.52E-18
2039.87         8.82E-18        8.82E-18
2040.37         8.32E-18        8.32E-18
2040.87         7.87E-18        7.87E-18
2041.36         7.17E-18        7.17E-18
2041.86         6.35E-18        6.35E-18
2042.35         5.62E-18        5.62E-18
2042.85         4.96E-18        4.96E-18
2043.34         4.37E-18        4.37E-18
2043.84         3.89E-18        3.89E-18
2044.33         3.61E-18        3.61E-18
2044.83         3.54E-18        3.54E-18
2045.33         3.64E-18        3.64E-18
2045.82         3.88E-18        3.88E-18
2046.32         3.77E-18        3.77E-18
2046.81         3.47E-18        3.47E-18
2047.31         2.96E-18        2.96E-18
2047.80         2.61E-18        2.61E-18
2048.30         2.42E-18        2.42E-18
2048.79         2.44E-18        2.44E-18
2049.29         3.73E-18        3.73E-18
2049.79         6.72E-18        6.72E-18
2050.28         9.57E-18        9.57E-18
2050.78         1.04E-17        1.04E-17
2051.27         9.74E-18        9.74E-18
2051.77         9.65E-18        9.65E-18
2052.26         1.13E-17        1.13E-17
2052.76         1.32E-17        1.32E-17
2053.26         1.43E-17        1.43E-17
2053.75         1.47E-17        1.47E-17
2054.25         1.37E-17        1.37E-17
2054.74         1.20E-17        1.20E-17
2055.24         1.02E-17        1.02E-17
2055.73         8.75E-18        8.75E-18
2056.23         7.60E-18        7.60E-18
2056.72         6.57E-18        6.57E-18
2057.22         5.91E-18        5.91E-18
2057.72         5.25E-18        5.25E-18
2058.21         4.72E-18        4.72E-18
2058.71         4.27E-18        4.27E-18
2059.20         4.11E-18        4.11E-18
2059.70         4.31E-18        4.31E-18
2060.19         4.38E-18        4.38E-18
2060.69         4.21E-18        4.21E-18
2061.18         3.87E-18        3.87E-18
2061.68         3.44E-18        3.44E-18
2062.18         2.89E-18        2.89E-18
2062.67         2.64E-18        2.64E-18
2063.17         2.23E-18        2.23E-18
2063.66         1.99E-18        1.99E-18
2064.16         1.89E-18        1.89E-18
2064.65         1.75E-18        1.75E-18
2065.15         1.62E-18        1.62E-18
2065.65         1.70E-18        1.69E-18
2066.14         2.44E-18        2.44E-18
2066.64         5.10E-18        5.10E-18
2067.13         9.20E-18        9.20E-18
2067.63         1.24E-17        1.24E-17
2068.12         1.59E-17        1.59E-17
2068.62         1.76E-17        1.76E-17
2069.11         1.61E-17        1.61E-17
2069.61         1.39E-17        1.39E-17
2070.11         1.21E-17        1.21E-17
2070.60         1.04E-17        1.04E-17
2071.10         8.89E-18        8.89E-18
2071.59         8.06E-18        8.06E-18
2072.09         7.45E-18        7.45E-18
2072.58         6.89E-18        6.89E-18
2073.08         6.27E-18        6.27E-18
2073.58         5.69E-18        5.69E-18
2074.07         5.12E-18        5.12E-18
2074.57         4.65E-18        4.65E-18
2075.06         4.12E-18        4.12E-18
2075.56         3.79E-18        3.79E-18
2076.05         3.39E-18        3.39E-18
2076.55         2.97E-18        2.97E-18
2077.04         2.65E-18        2.65E-18
2077.54         2.41E-18        2.41E-18
2078.04         2.18E-18        2.18E-18
2078.53         2.08E-18        2.08E-18
2079.03         1.93E-18        1.93E-18
2079.52         1.89E-18        1.89E-18
2080.02         1.72E-18        1.71E-18
2080.51         1.57E-18        1.57E-18
2081.01         1.48E-18        1.48E-18
2081.50         1.40E-18        1.40E-18
2082.00         1.72E-18        1.72E-18
2082.50         3.54E-18        3.54E-18
2082.99         7.45E-18        7.44E-18
2083.49         1.04E-17        1.04E-17
2083.98         1.17E-17        1.17E-17
2084.48         1.23E-17        1.23E-17
2084.97         1.21E-17        1.21E-17
2085.47         1.11E-17        1.11E-17
2085.97         9.99E-18        9.99E-18
2086.46         9.78E-18        9.78E-18
2086.96         9.36E-18        9.36E-18
2087.45         8.82E-18        8.82E-18
2087.95         8.52E-18        8.52E-18
2088.44         7.87E-18        7.87E-18
2088.94         7.07E-18        7.07E-18
2089.43         6.40E-18        6.40E-18
2089.93         5.63E-18        5.63E-18
2090.43         5.01E-18        5.01E-18
2090.92         4.39E-18        4.39E-18
2091.42         3.88E-18        3.88E-18
2091.91         3.53E-18        3.53E-18
2092.41         3.18E-18        3.18E-18
2092.90         2.90E-18        2.90E-18
2093.40         2.65E-18        2.65E-18
2093.90         2.51E-18        2.50E-18
2094.39         2.39E-18        2.39E-18
2094.89         2.14E-18        2.14E-18
2095.38         1.92E-18        1.92E-18
2095.88         1.70E-18        1.69E-18
2096.37         1.49E-18        1.49E-18
2096.87         1.38E-18        1.38E-18
2097.36         1.16E-18        1.16E-18
2097.86         1.12E-18        1.12E-18
2098.36         1.15E-18        1.15E-18
2098.85         1.83E-18        1.83E-18
2099.35         4.06E-18        4.05E-18
2099.84         6.35E-18        6.35E-18
