0 Branching ratio for OCS       Total        1 branches    
Lambda          Total           CO/S
2076.05         1.02E-19        1.02E-19
2076.55         1.03E-19        1.03E-19
2077.04         1.04E-19        1.04E-19
2077.54         1.05E-19        1.05E-19
2078.04         1.05E-19        1.05E-19
2078.53         1.06E-19        1.06E-19
2079.03         1.06E-19        1.06E-19
2079.52         1.06E-19        1.06E-19
2080.02         1.07E-19        1.07E-19
2080.51         1.07E-19        1.07E-19
2081.01         1.07E-19        1.07E-19
2081.50         1.08E-19        1.08E-19
2082.00         1.09E-19        1.09E-19
2082.50         1.10E-19        1.10E-19
2082.99         1.11E-19        1.11E-19
2083.49         1.12E-19        1.12E-19
2083.98         1.14E-19        1.14E-19
2084.48         1.15E-19        1.15E-19
2084.97         1.16E-19        1.16E-19
2085.47         1.18E-19        1.18E-19
2085.97         1.19E-19        1.19E-19
2086.46         1.20E-19        1.20E-19
2086.96         1.21E-19        1.21E-19
2087.45         1.21E-19        1.21E-19
2087.95         1.22E-19        1.22E-19
2088.44         1.22E-19        1.22E-19
2088.94         1.22E-19        1.22E-19
2089.43         1.23E-19        1.23E-19
2089.93         1.23E-19        1.23E-19
2090.43         1.23E-19        1.23E-19
2090.92         1.23E-19        1.23E-19
2091.42         1.24E-19        1.24E-19
2091.91         1.24E-19        1.24E-19
2092.41         1.25E-19        1.25E-19
2092.90         1.26E-19        1.26E-19
2093.40         1.28E-19        1.28E-19
2093.90         1.30E-19        1.30E-19
2094.39         1.30E-19        1.30E-19
2094.89         1.31E-19        1.31E-19
2095.38         1.31E-19        1.31E-19
2095.88         1.31E-19        1.31E-19
2096.37         1.31E-19        1.31E-19
2096.87         1.30E-19        1.30E-19
2097.36         1.30E-19        1.30E-19
2097.86         1.31E-19        1.31E-19
2098.36         1.32E-19        1.32E-19
2098.85         1.32E-19        1.32E-19
2099.35         1.32E-19        1.32E-19
2099.84         1.33E-19        1.33E-19
2100.34         1.35E-19        1.35E-19
2100.83         1.37E-19        1.37E-19
2101.33         1.38E-19        1.38E-19
2101.82         1.39E-19        1.39E-19
2102.32         1.41E-19        1.41E-19
2102.82         1.43E-19        1.43E-19
2103.31         1.44E-19        1.44E-19
2103.81         1.44E-19        1.44E-19
2104.30         1.44E-19        1.44E-19
2104.80         1.44E-19        1.44E-19
2105.29         1.44E-19        1.44E-19
2105.79         1.46E-19        1.46E-19
2106.29         1.46E-19        1.46E-19
2106.78         1.47E-19        1.47E-19
2107.28         1.49E-19        1.49E-19
2107.77         1.50E-19        1.50E-19
2108.27         1.51E-19        1.51E-19
2108.76         1.53E-19        1.53E-19
2109.26         1.55E-19        1.55E-19
2109.75         1.56E-19        1.56E-19
2110.25         1.56E-19        1.56E-19
2110.75         1.56E-19        1.56E-19
2111.24         1.56E-19        1.56E-19
2111.74         1.57E-19        1.57E-19
2112.23         1.58E-19        1.58E-19
2112.73         1.58E-19        1.58E-19
2113.22         1.59E-19        1.59E-19
2113.72         1.59E-19        1.59E-19
2114.21         1.60E-19        1.60E-19
2114.71         1.61E-19        1.61E-19
2115.21         1.61E-19        1.61E-19
2115.70         1.62E-19        1.62E-19
2116.20         1.63E-19        1.63E-19
2116.69         1.64E-19        1.64E-19
2117.19         1.66E-19        1.66E-19
2117.68         1.68E-19        1.68E-19
2118.18         1.69E-19        1.69E-19
2118.68         1.70E-19        1.70E-19
2119.17         1.70E-19        1.70E-19
2119.67         1.71E-19        1.71E-19
2120.16         1.71E-19        1.71E-19
2120.66         1.71E-19        1.71E-19
2121.15         1.70E-19        1.70E-19
2121.65         1.69E-19        1.69E-19
2122.14         1.68E-19        1.68E-19
2122.64         1.67E-19        1.67E-19
2123.14         1.68E-19        1.68E-19
2123.63         1.68E-19        1.68E-19
2124.13         1.69E-19        1.69E-19
2124.62         1.71E-19        1.71E-19
2125.12         1.73E-19        1.73E-19
2125.61         1.75E-19        1.75E-19
2126.11         1.76E-19        1.76E-19
2126.61         1.76E-19        1.76E-19
2127.10         1.77E-19        1.77E-19
2127.60         1.78E-19        1.78E-19
2128.09         1.78E-19        1.78E-19
2128.59         1.78E-19        1.78E-19
2129.08         1.78E-19        1.78E-19
2129.58         1.79E-19        1.79E-19
2130.07         1.80E-19        1.80E-19
2130.57         1.81E-19        1.81E-19
2131.07         1.82E-19        1.82E-19
2131.56         1.83E-19        1.83E-19
2132.06         1.86E-19        1.86E-19
2132.55         1.87E-19        1.87E-19
2133.05         1.89E-19        1.89E-19
2133.54         1.91E-19        1.91E-19
2134.04         1.93E-19        1.93E-19
2134.53         1.95E-19        1.95E-19
2135.03         1.97E-19        1.97E-19
2135.53         1.98E-19        1.98E-19
2136.02         1.99E-19        1.99E-19
2136.52         2.00E-19        2.00E-19
2137.01         2.00E-19        2.00E-19
2137.51         2.02E-19        2.02E-19
2138.00         2.02E-19        2.02E-19
2138.50         2.04E-19        2.04E-19
2139.00         2.06E-19        2.06E-19
2139.49         2.08E-19        2.08E-19
2139.99         2.09E-19        2.09E-19
2140.48         2.11E-19        2.11E-19
2140.98         2.12E-19        2.12E-19
2141.47         2.13E-19        2.13E-19
2141.97         2.14E-19        2.14E-19
2142.46         2.14E-19        2.14E-19
2142.96         2.12E-19        2.12E-19
2143.46         2.11E-19        2.11E-19
2143.95         2.11E-19        2.11E-19
2144.45         2.11E-19        2.11E-19
2144.94         2.11E-19        2.11E-19
2145.44         2.11E-19        2.11E-19
2145.93         2.11E-19        2.11E-19
2146.43         2.11E-19        2.11E-19
2146.92         2.11E-19        2.11E-19
2147.42         2.12E-19        2.12E-19
2147.92         2.12E-19        2.12E-19
2148.41         2.13E-19        2.13E-19
2148.91         2.14E-19        2.14E-19
2149.40         2.16E-19        2.16E-19
2149.90         2.19E-19        2.19E-19
2150.39         2.22E-19        2.22E-19
2150.89         2.23E-19        2.23E-19
2151.39         2.22E-19        2.22E-19
2151.88         2.22E-19        2.22E-19
2152.38         2.21E-19        2.21E-19
2152.87         2.20E-19        2.20E-19
2153.37         2.19E-19        2.19E-19
2153.86         2.17E-19        2.17E-19
2154.36         2.16E-19        2.16E-19
2154.85         2.15E-19        2.15E-19
2155.35         2.15E-19        2.15E-19
2155.85         2.15E-19        2.15E-19
2156.34         2.16E-19        2.16E-19
2156.84         2.17E-19        2.17E-19
2157.33         2.20E-19        2.20E-19
2157.83         2.23E-19        2.23E-19
2158.32         2.24E-19        2.24E-19
2158.82         2.25E-19        2.25E-19
2159.32         2.26E-19        2.26E-19
2159.81         2.28E-19        2.28E-19
2160.31         2.30E-19        2.30E-19
2160.80         2.31E-19        2.31E-19
