0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
2000.72         2.12E-23        2.12E-23
2001.22         2.11E-23        2.11E-23
2001.71         2.10E-23        2.10E-23
2002.21         2.09E-23        2.09E-23
2002.70         2.09E-23        2.09E-23
2003.20         2.08E-23        2.08E-23
2003.69         2.07E-23        2.07E-23
2004.19         2.06E-23        2.06E-23
2004.69         2.04E-23        2.04E-23
2005.18         2.03E-23        2.03E-23
2005.68         2.01E-23        2.01E-23
2006.17         2.00E-23        2.00E-23
2006.67         2.01E-23        2.01E-23
2007.16         2.02E-23        2.02E-23
2007.66         2.03E-23        2.03E-23
2008.15         2.03E-23        2.03E-23
2008.65         2.02E-23        2.02E-23
2009.15         2.02E-23        2.02E-23
2009.64         2.01E-23        2.01E-23
2010.14         2.01E-23        2.01E-23
2010.63         2.00E-23        2.00E-23
2011.13         2.00E-23        2.00E-23
2011.62         2.00E-23        2.00E-23
2012.12         1.99E-23        1.99E-23
2012.62         1.99E-23        1.99E-23
2013.11         1.98E-23        1.98E-23
2013.61         1.98E-23        1.98E-23
2014.10         1.97E-23        1.97E-23
2014.60         1.97E-23        1.97E-23
2015.09         1.96E-23        1.96E-23
2015.59         1.96E-23        1.96E-23
2016.08         1.95E-23        1.95E-23
2016.58         1.95E-23        1.95E-23
2017.08         1.95E-23        1.95E-23
2017.57         1.94E-23        1.94E-23
2018.07         1.94E-23        1.94E-23
2018.56         1.93E-23        1.93E-23
2019.06         1.93E-23        1.93E-23
2019.55         1.92E-23        1.92E-23
2020.05         1.92E-23        1.92E-23
2020.55         1.91E-23        1.91E-23
2021.04         1.91E-23        1.91E-23
2021.54         1.91E-23        1.91E-23
2022.03         1.91E-23        1.91E-23
2022.53         1.91E-23        1.91E-23
2023.02         1.92E-23        1.92E-23
2023.52         1.92E-23        1.92E-23
2024.01         1.93E-23        1.93E-23
2024.51         1.93E-23        1.93E-23
2025.01         1.94E-23        1.94E-23
2025.50         1.94E-23        1.94E-23
2026.00         1.94E-23        1.94E-23
2026.49         1.94E-23        1.94E-23
2026.99         1.94E-23        1.94E-23
2027.48         1.94E-23        1.94E-23
2027.98         1.94E-23        1.94E-23
2028.47         1.94E-23        1.94E-23
2028.97         1.93E-23        1.93E-23
2029.47         1.93E-23        1.93E-23
2029.96         1.93E-23        1.93E-23
2030.46         1.93E-23        1.93E-23
2030.95         1.93E-23        1.93E-23
2031.45         1.93E-23        1.93E-23
2031.94         1.93E-23        1.93E-23
2032.44         1.93E-23        1.93E-23
2032.94         1.92E-23        1.92E-23
2033.43         1.92E-23        1.92E-23
2033.93         1.92E-23        1.92E-23
2034.42         1.91E-23        1.91E-23
2034.92         1.91E-23        1.91E-23
2035.41         1.91E-23        1.91E-23
2035.91         1.91E-23        1.91E-23
2036.40         1.90E-23        1.90E-23
2036.90         1.90E-23        1.90E-23
2037.40         1.90E-23        1.90E-23
2037.89         1.89E-23        1.89E-23
2038.39         1.89E-23        1.89E-23
2038.88         1.89E-23        1.89E-23
2039.38         1.88E-23        1.88E-23
2039.87         1.88E-23        1.88E-23
2040.37         1.88E-23        1.88E-23
2040.87         1.87E-23        1.87E-23
2041.36         1.87E-23        1.87E-23
2041.86         1.87E-23        1.87E-23
2042.35         1.86E-23        1.86E-23
2042.85         1.86E-23        1.86E-23
2043.34         1.86E-23        1.86E-23
2043.84         1.85E-23        1.85E-23
2044.33         1.85E-23        1.85E-23
2044.83         1.85E-23        1.85E-23
2045.33         1.84E-23        1.84E-23
2045.82         1.84E-23        1.84E-23
2046.32         1.84E-23        1.84E-23
2046.81         1.83E-23        1.83E-23
2047.31         1.83E-23        1.83E-23
2047.80         1.83E-23        1.83E-23
2048.30         1.82E-23        1.82E-23
2048.79         1.82E-23        1.82E-23
2049.29         1.81E-23        1.81E-23
2049.79         1.81E-23        1.81E-23
2050.28         1.81E-23        1.81E-23
2050.78         1.81E-23        1.81E-23
2051.27         1.81E-23        1.81E-23
2051.77         1.80E-23        1.80E-23
2052.26         1.80E-23        1.80E-23
2052.76         1.80E-23        1.80E-23
2053.26         1.80E-23        1.80E-23
2053.75         1.80E-23        1.80E-23
2054.25         1.79E-23        1.79E-23
2054.74         1.79E-23        1.79E-23
2055.24         1.79E-23        1.79E-23
2055.73         1.79E-23        1.79E-23
2056.23         1.79E-23        1.79E-23
2056.72         1.79E-23        1.79E-23
2057.22         1.78E-23        1.78E-23
2057.72         1.78E-23        1.78E-23
2058.21         1.78E-23        1.78E-23
2058.71         1.78E-23        1.78E-23
2059.20         1.78E-23        1.78E-23
2059.70         1.78E-23        1.78E-23
2060.19         1.77E-23        1.77E-23
2060.69         1.77E-23        1.77E-23
2061.18         1.77E-23        1.77E-23
2061.68         1.77E-23        1.77E-23
2062.18         1.77E-23        1.77E-23
2062.67         1.76E-23        1.76E-23
2063.17         1.76E-23        1.76E-23
2063.66         1.76E-23        1.76E-23
2064.16         1.76E-23        1.76E-23
2064.65         1.76E-23        1.76E-23
2065.15         1.76E-23        1.76E-23
2065.65         1.75E-23        1.75E-23
2066.14         1.75E-23        1.75E-23
2066.64         1.75E-23        1.75E-23
2067.13         1.75E-23        1.75E-23
2067.63         1.75E-23        1.75E-23
2068.12         1.74E-23        1.74E-23
2068.62         1.74E-23        1.74E-23
2069.11         1.74E-23        1.74E-23
2069.61         1.74E-23        1.74E-23
2070.11         1.74E-23        1.74E-23
2070.60         1.74E-23        1.74E-23
2071.10         1.73E-23        1.73E-23
2071.59         1.73E-23        1.73E-23
2072.09         1.73E-23        1.73E-23
2072.58         1.73E-23        1.73E-23
2073.08         1.73E-23        1.73E-23
2073.58         1.73E-23        1.73E-23
2074.07         1.72E-23        1.72E-23
2074.57         1.72E-23        1.72E-23
2075.06         1.72E-23        1.72E-23
2075.56         1.72E-23        1.72E-23
2076.05         1.72E-23        1.72E-23
2076.55         1.71E-23        1.71E-23
2077.04         1.71E-23        1.71E-23
2077.54         1.71E-23        1.71E-23
2078.04         1.71E-23        1.71E-23
2078.53         1.71E-23        1.71E-23
2079.03         1.71E-23        1.71E-23
2079.52         1.70E-23        1.70E-23
2080.02         1.70E-23        1.70E-23
2080.51         1.70E-23        1.70E-23
2081.01         1.70E-23        1.70E-23
2081.50         1.70E-23        1.70E-23
2082.00         1.69E-23        1.69E-23
2082.50         1.69E-23        1.69E-23
2082.99         1.69E-23        1.69E-23
2083.49         1.69E-23        1.69E-23
2083.98         1.69E-23        1.69E-23
2084.48         1.69E-23        1.69E-23
2084.97         1.68E-23        1.68E-23
2085.47         1.68E-23        1.68E-23
2085.97         1.68E-23        1.68E-23
2086.46         1.68E-23        1.68E-23
2086.96         1.68E-23        1.68E-23
2087.45         1.68E-23        1.68E-23
